pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*tu-u-n-k-e/o-,understand,,"eo,k,n,ng,ngg,tu,tu-u-n-k-eo-,tu-u-ng-k-eo-,tu-u-ngg-k-eo-,u",understand,"A,K,NK,T,TNKKK,TNKKKK",ANKTRSTNKT
*(uxs-)sterb-,death,,"sterb,ux,uxs-sterb-",death,"AKS,AKSSSSTRPP,KSSSSSTRPP,STRP","T0,TT"
*sterb-,death,,"sterb,sterb-",death,"STRP,STRPP","T0,TT"
*uxs-sterb-,death,,"sterb,ux,uxs-sterb-",death,"AKS,AKSSSSTRPP,KSSSSTRPP,STRP","T0,TT"
*(φ)adwo-,fast,,"thadwo,thadwo-,φadwo,φadwo-",fast,"00T,0T,TT,TTT",FST
*adwo-,fast,,"adwo,adwo-",fast,"AT,T",FST
*φadwo-,fast,,"thadwo,thadwo-,φadwo,φadwo-",fast,"0T,TT",FST
*(φ)likkā-,flat stone,,"thlikka,thlikka-,φlikkā,φlikkā-","flat,stone","00K,0LK,TLK,TTK","FLT,STNJ,STNK"
*likkā-,flat stone,,"likka,likka-,likkā,likkā-","flat,stone",LK,"FLT,STNJ,STNK"
*φlikkā-,flat stone,,"thlikka,thlikka-,φlikkā,φlikkā-","flat,stone","0LK,TLK","FLT,STNJ,STNK"
"*(φ)rāti-, *-(φ)rāto-",earthen bank,,"-thrato-,-φrāto-,thrati,thrati-,thrato,φrāti,φrāti-,φrāto","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*(φ)rāti-,earthen bank,,"thrati,thrati-,φrāti,φrāti-","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*-(φ)rāto-,earthen bank,,"-thrato-,-φrāto-,thrato,φrāto","bank,earthen","00T,0RT,TRT,TTT","AR0NK,ARTNK,PNKK"
*rāti-,earthen bank,,"rati,rati-,rāti,rāti-","bank,earthen",RT,"AR0NK,ARTNK,PNKK"
*φrāti-,earthen bank,,"thrati,thrati-,φrāti,φrāti-","bank,earthen","0RT,TRT","AR0NK,ARTNK,PNKK"
*-rāto-,earthen bank,,"-rato-,-rāto-,rato,rāto","bank,earthen",RT,"AR0NK,ARTNK,PNKK"
*-φrāto-,earthen bank,,"-thrato-,-φrāto-,thrato,φrāto","bank,earthen","0RT,TRT","AR0NK,ARTNK,PNKK"
*(φ)riketti-,coal,,"thriketti,thriketti-,φriketti,φriketti-",coal,"00KT,0RKT,TRKT,TTKT",KL
*riketti-,coal,,"riketti,riketti-",coal,RKT,KL
*φriketti-,coal,,"thriketti,thriketti-,φriketti,φriketti-",coal,"0RKT,TRKT",KL
*(φ)rind-o-,cape,,"o,thringd,thringd-o-,thringgd,thringgd-o-,φrind,φrind-o-",cape,"00NKTT,0RNKT,0RNKTT,A,TRNKT,TRNKTT,TTNKTT",KP
*rind-o-,cape,,"o,rind,rind-o-,ringd,ringd-o-,ringgd,ringgd-o-",cape,"A,RNKT,RNKTT",KP
*φrind-o-,cape,,"o,thringd,thringd-o-,thringgd,thringgd-o-,φrind,φrind-o-",cape,"0RNKT,0RNKTT,A,TRNKT,TRNKTT",KP
*(φ)streu-,sneeze,,"thstreu,thstreu-,φstreu,φstreu-",sneez,"00TR,0STR,TSTR,TTTR","SNJS,XNKS"
*streu-,sneeze,,"streu,streu-",sneez,STR,"SNJS,XNKS"
*φstreu-,sneeze,,"thstreu,thstreu-,φstreu,φstreu-",sneez,"0STR,TSTR","SNJS,XNKS"
*(φ)utu-,udder,,"thutu,thutu-,φutu,φutu-",udder,"00T,0T,TT,TTT",ATR
*utu-,udder,,"utu,utu-",udder,"AT,T",ATR
*φutu-,udder,,"thutu,thutu-,φutu,φutu-",udder,"0T,TT",ATR
*(φ)īts-elo-,low,,"elo,thit,thits-elo-,φīts,φīts-elo-",low,"00TSSL,0T,0TS,0TSSL,AL,TT,TTS,TTSSL,TTTSSL","L,LF"
*īts-elo-,low,,"elo,it,its-elo-,īts,īts-elo-",low,"AL,AT,ATS,ATSSL,TSSL","L,LF"
*φīts-elo-,low,,"elo,thit,thits-elo-,φīts,φīts-elo-",low,"0T,0TS,0TSSL,AL,TT,TTS,TTSSL","L,LF"
*(φ)labro-,speak,,"thlabro,thlabro-,φlabro,φlabro-",speak,"00PR,0LPR,TLPR,TTPR",SPK
*labro-,speak,,"labro,labro-",speak,LPR,SPK
*φlabro-,speak,,"thlabro,thlabro-,φlabro,φlabro-",speak,"0LPR,TLPR",SPK
*(φ)lakno-,sadness,,"thlaknggo,thlaknggo-,thlakngo,thlakngo-,φlakno,φlakno-",sad,"00KNK,0LKNK,TLKNK,TTKNK","ST,STNJS,STNKS"
*lakno-,sadness,,"laknggo,laknggo-,lakngo,lakngo-,lakno,lakno-",sad,LKNK,"ST,STNJS,STNKS"
*φlakno-,sadness,,"thlaknggo,thlaknggo-,thlakngo,thlakngo-,φlakno,φlakno-",sad,"0LKNK,TLKNK","ST,STNJS,STNKS"
*(φ)lan(d)weto-,flood,,"thlangdweto,thlangdweto-,thlanggdweto,thlanggdweto-,φlandweto,φlandweto-",flood,"00NKKTTT,0LNKTT,TLNKTT,TTNKKTTT",FLT
*lanweto-,flood,,"langgweto,langgweto-,langweto,langweto-,lanweto,lanweto-",flood,LNKT,FLT
*φlanweto-,flood,,"thlanggweto,thlanggweto-,thlangweto,thlangweto-,φlanweto,φlanweto-",flood,"0LNKT,TLNKT",FLT
*landweto-,flood,,"landweto,landweto-,langdweto,langdweto-,langgdweto,langgdweto-",flood,LNKTT,FLT
*φlandweto-,flood,,"thlangdweto,thlangdweto-,thlanggdweto,thlanggdweto-,φlandweto,φlandweto-",flood,"0LNKTT,TLNKTT",FLT
*(φ)lārek-,mare (horse),,"thlarek,thlarek-,φlārek,φlārek-","hor,mare","00RKK,0LRK,0LRKK,TLRK,TLRKK,TTRKK","HRS,NKR,RS"
*lārek-,mare (horse),,"larek,larek-,lārek,lārek-","hor,mare","LRK,LRKK","HRS,NKR,RS"
*φlārek-,mare (horse),,"thlarek,thlarek-,φlārek,φlārek-","hor,mare","0LRK,0LRKK,TLRK,TLRKK","HRS,NKR,RS"
*(φ)lendu-,fluid,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",fluid,"00NKT,0LNKT,TLNKT,TTNKT",FLT
*lendu-,fluid,,"lendu,lendu-,lengdu,lengdu-,lenggdu,lenggdu-",fluid,LNKT,FLT
*φlendu-,fluid,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",fluid,"0LNKT,TLNKT",FLT
*(φ)lendu-,lake,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",lake,"00NKT,0LNKT,TLNKT,TTNKT",LK
*lendu-,lake,,"lendu,lendu-,lengdu,lengdu-,lenggdu,lenggdu-",lake,LNKT,LK
*φlendu-,lake,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",lake,"0LNKT,TLNKT",LK
*(φ)lendu-,water,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",water,"00NKT,0LNKT,TLNKT,TTNKT","ATR,FTR"
*lendu-,water,,"lendu,lendu-,lengdu,lengdu-,lenggdu,lenggdu-",water,LNKT,"ATR,FTR"
*φlendu-,water,,"thlengdu,thlengdu-,thlenggdu,thlenggdu-,φlendu,φlendu-",water,"0LNKT,TLNKT","ATR,FTR"
*(φ)lesto-,gain,,"thlesto,thlesto-,φlesto,φlesto-",gain,"00ST,0LST,TLST,TTST",KNK
*lesto-,gain,,"lesto,lesto-",gain,LST,KNK
*φlesto-,gain,,"thlesto,thlesto-,φlesto,φlesto-",gain,"0LST,TLST",KNK
*(φ)leto-einekʷo-,page,,"einekʷo,eingekwo,einggekwo,thleto,thleto-eingekwo-,thleto-einggekwo-,φleto,φleto-einekʷo-",page,"00TNJK,0LT,0LTNJK,0LTNKK,ANJK,ANKK,TLT,TLTNKK,TTTNKK","PJ,PK"
*leto-einekʷo-,page,,"einekʷo,eingekwo,einggekwo,leto,leto-einekʷo-,leto-eingekwo-,leto-einggekwo-",page,"ANJK,ANKK,LT,LTNJK,LTNKK","PJ,PK"
*φleto-einekʷo-,page,,"einekʷo,eingekwo,einggekwo,thleto,thleto-eingekwo-,thleto-einggekwo-,φleto,φleto-einekʷo-",page,"0LT,0LTNJK,0LTNKK,ANJK,ANKK,TLT,TLTNKK","PJ,PK"
*(φ)likkā-,rickets,,"thlikka,thlikka-,φlikkā,φlikkā-",ricket,"00K,0LK,TLK,TTK","RKT,RKTS"
*likkā-,rickets,,"likka,likka-,likkā,likkā-",ricket,LK,"RKT,RKTS"
*φlikkā-,rickets,,"thlikka,thlikka-,φlikkā,φlikkā-",ricket,"0LK,TLK","RKT,RKTS"
*(φ)lin-je/o-,flow,,"jeo,thling,thling-jeo-,thlingg,thlingg-jeo-,φlin,φlin-jeo-",flow,"00NKKJ,0LNK,0LNKK,0LNKKJ,A,J,TLNK,TLNKK,TLNKKJ,TTNKKJ","FL,FLF"
*lin-je/o-,flow,,"jeo,lin,lin-jeo-,ling,ling-jeo-,lingg,lingg-jeo-",flow,"A,J,LNK,LNKK,LNKKJ","FL,FLF"
*φlin-je/o-,flow,,"jeo,thling,thling-jeo-,thlingg,thlingg-jeo-,φlin,φlin-jeo-",flow,"0LNK,0LNKK,0LNKKJ,A,J,TLNK,TLNKK,TLNKKJ","FL,FLF"
*(φ)listo-,fort,,"thlisto,thlisto-,φlisto,φlisto-",fort,"00ST,0LST,TLST,TTST",FRT
*listo-,fort,,"listo,listo-",fort,LST,FRT
*φlisto-,fort,,"thlisto,thlisto-,φlisto,φlisto-",fort,"0LST,TLST",FRT
*(φ)listo-makʷ(kʷ)o-,stepson,,"makʷkʷo,ngakwkwo,nggakwkwo,thlisto,thlisto-ngakwkwo-,thlisto-nggakwkwo-,φlisto,φlisto-makʷkʷo-",stepson,"00STNKKK,0LST,0LSTNKKK,NKKK,TLST,TLSTNKKK,TTSTNKKK",STPSNK
*listo-makʷo-,stepson,,"listo,listo-makʷo-,listo-ngakwo-,listo-nggakwo-,makʷo,ngakwo,nggakwo",stepson,"LST,LSTNKK,NKK",STPSNK
*φlisto-makʷo-,stepson,,"makʷo,ngakwo,nggakwo,thlisto,thlisto-ngakwo-,thlisto-nggakwo-,φlisto,φlisto-makʷo-",stepson,"0LST,0LSTNKK,NKK,TLST,TLSTNKK",STPSNK
*listo-makʷkʷo-,stepson,,"listo,listo-makʷkʷo-,listo-ngakwkwo-,listo-nggakwkwo-,makʷkʷo,ngakwkwo,nggakwkwo",stepson,"LST,LSTNKKK,NKKK",STPSNK
*φlisto-makʷkʷo-,stepson,,"makʷkʷo,ngakwkwo,nggakwkwo,thlisto,thlisto-ngakwkwo-,thlisto-nggakwkwo-,φlisto,φlisto-makʷkʷo-",stepson,"0LST,0LSTNKKK,NKKK,TLST,TLSTNKKK",STPSNK
*(φ)littjon-,broth,,"thlittjong,thlittjong-,thlittjongg,thlittjongg-,φlittjon,φlittjon-",broth,"00TJNKK,0LTJNK,0LTJNKK,TLTJNK,TLTJNKK,TTTJNKK","PR0,PRT"
*littjon-,broth,,"littjon,littjon-,littjong,littjong-,littjongg,littjongg-",broth,"LTJNK,LTJNKK","PR0,PRT"
*φlittjon-,broth,,"thlittjong,thlittjong-,thlittjongg,thlittjongg-,φlittjon,φlittjon-",broth,"0LTJNK,0LTJNKK,TLTJNK,TLTJNKK","PR0,PRT"
"*(φ)louno-, *(φ)lono-","tallow, fat",,"thlonggo,thlonggo-,thlongo,thlongo-,thlounggo,thlounggo-,thloungo,thloungo-,φlono,φlono-,φlouno,φlouno-","fat,tallow","00NK,0LNK,TLNK,TTNK","FT,TL,TLF"
*(φ)louno-,"tallow, fat",,"thlounggo,thlounggo-,thloungo,thloungo-,φlouno,φlouno-","fat,tallow","00NK,0LNK,TLNK,TTNK","FT,TL,TLF"
*(φ)lono-,"tallow, fat",,"thlonggo,thlonggo-,thlongo,thlongo-,φlono,φlono-","fat,tallow","00NK,0LNK,TLNK,TTNK","FT,TL,TLF"
*louno-,"tallow, fat",,"lounggo,lounggo-,loungo,loungo-,louno,louno-","fat,tallow",LNK,"FT,TL,TLF"
*φlouno-,"tallow, fat",,"thlounggo,thlounggo-,thloungo,thloungo-,φlouno,φlouno-","fat,tallow","0LNK,TLNK","FT,TL,TLF"
*lono-,"tallow, fat",,"longgo,longgo-,longo,longo-,lono,lono-","fat,tallow",LNK,"FT,TL,TLF"
*φlono-,"tallow, fat",,"thlonggo,thlonggo-,thlongo,thlongo-,φlono,φlono-","fat,tallow","0LNK,TLNK","FT,TL,TLF"
*(φ)rannā-,part,,"thranggngga,thranggngga-,thrangnga,thrangnga-,φrannā,φrannā-",part,"00NNK,0RNKNK,0RNNK,TRNKNK,TTNKNK",PRT
*rannā-,part,,"ranggngga,ranggngga-,rangnga,rangnga-,rannā,rannā-",part,"RNKNK,RNNK",PRT
*φrannā-,part,,"thranggngga,thranggngga-,thrangnga,thrangnga-,φrannā,φrannā-",part,"0RNKNK,0RNNK,TRNKNK",PRT
*(φ)rasd-,polish,,"thrasd,thrasd-,φrasd,φrasd-",polish,"00STT,0RST,0RSTT,TRST,TRSTT,TTSTT",PLX
*rasd-,polish,,"rasd,rasd-",polish,"RST,RSTT",PLX
*φrasd-,polish,,"thrasd,thrasd-,φrasd,φrasd-",polish,"0RST,0RSTT,TRST,TRSTT",PLX
*(φ)rati-,fern,,"thrati,thrati-,φrati,φrati-",fern,"00T,0RT,TRT,TTT",FRNK
*rati-,fern,,"rati,rati-",fern,RT,FRNK
*φrati-,fern,,"thrati,thrati-,φrati,φrati-",fern,"0RT,TRT",FRNK
*,riches,,,rich,,"RK,RKS,RX,RXS"
*?-trebā,home,,"-treba,-trebā,treba,trebā",home,TRP,"HNJ,HNK"
*ā,vocative,,"a,ā",vocat,A,"FKT,FKTF"
*a/eli/es(t)r-,sword-flag,,"aeliestr,aeliestr-",sword-flag,"ALSTR,ALSTRR,LSSTTRR","SRTTFLK,XRTTFLK"
*a/eli/esr-,sword-flag,,"aeliesr,aeliesr-",sword-flag,"ALSR,ALSRR,LSRR","SRTTFLK,XRTTFLK"
*a/eli/estr-,sword-flag,,"aeliestr,aeliestr-",sword-flag,"ALSTR,ALSTRR,LSTRR","SRTTFLK,XRTTFLK"
*aballo-,apple,,"aballo,aballo-",appl,"APL,PL",APL
*aballon-,apple-orchard,,"aballon,aballon-,aballong,aballong-,aballongg,aballongg-",apple-orchard,"APLNK,APLNKK,PLNKK","APLRKRT,APLRXRT"
*abalo-,apple,,"abalo,abalo-",appl,"APL,PL",APL
*abanko-,"beaver, dwarf",,"abanggko,abanggko-,abangko,abangko-,abanko,abanko-","beaver,dwarf","APNKK,PNKK","PFR,PFRR,TRF"
*abbon-,monkey,,"abbon,abbon-,abbong,abbong-,abbongg,abbongg-",monkey,"APNK,APNKK,PNKK",NKNKK
*abon-,river,,"abon,abon-,abong,abong-,abongg,abongg-",river,"APNK,APNKK,PNKK",RFR
*abonā-,river,,"abonga,abonga-,abongga,abongga-,abonā,abonā-",river,"APNK,PNK",RFR
*abro-,very,,"abro,abro-",veri,"APR,PR",FR
*ad-,prefix (lit. to),,"ad,ad-","lit,prefix,to","AT,ATT,TT","LT,LTT,PRFKS,T"
"*ad- , *tu-  + daw-e/o-",promise,,"ad,ad-,daw,daw-eo-,eo,tu,tu-",promi,"A,AT,ATT,T,TF,TT","PRNJS,PRNKS"
*ad-,promise,,"ad,ad-",promi,"AT,ATT,TT","PRNJS,PRNKS"
*tu-  + daw-e/o-,promise,,"daw,daw-eo-,eo,tu,tu-",promi,"A,T,TF","PRNJS,PRNKS"
*ad- ,promise,,"ad,ad-",promi,"AT,ATT,TT","PRNJS,PRNKS"
*tu-  + daw-e/o-,promise,,"daw,daw-eo-,eo,tu,tu-",promi,"A,T,TF","PRNJS,PRNKS"
*ad-/φari-jūn-,beautiful,,"ad,ad-thari-jung-,ad-thari-jungg-,ad-φari-jūn-,jung,jungg,jūn,thari,φari",beauti,"0R,ANK,AT,ATT0RJNKK,ATTTRJNKK,JNK,TR,TTT0RJNKK,TTTTRJNKK","PT,PTFL"
*ad-akʷī-,night,,"ad,ad-akwi-,ad-akʷī-,akwi,akʷī",night,"AK,AT,ATTK,TTK","NJJT,NKKT"
*ad-ālo-,request,,"ad,ad-alo-,ad-ālo-,alo,ālo",request,"AL,AT,ATTL,TTL",RKST
*adaso-,fitting,,"adaso,adaso-",fit,"ATS,TS","FT,FTNK"
*ad-bal-e/o-,die,,"ad,ad-bal-eo-,bal,eo",die,"A,AT,ATTPLL,PL,TTPLL",T
*ad-ber-o-,mouth of river; confluence,,"ad,ad-ber-o-,ber,o","confluenc,mouth,of,river","A,AT,ATTPRR,PR,TTPRR","AF,KNKFLNKK,KNKFLNKS,NK0,NKT,RFR,RFRR"
*ad-ber-o-,servant,,"ad,ad-ber-o-,ber,o",servant,"A,AT,ATTPRR,PR,TTPRR",SRFNKT
*ad-dam-e/o-,"admit, confess",,"ad,ad-dam-eo-,ad-dang-eo-,ad-dangg-eo-,dam,dang,dangg,eo","admit,confess","A,AT,ATTTNKK,TNK,TTTNKK","ATNJT,ATNJTT,ATNKT,ATNKTT,KNKFS"
*ad-garwo-,rough,,"ad,ad-garwo-,garwo",rough,"AT,ATTKR,KR,TTKR",RF
*ad-gen-n-o-,fine,,"ad,ad-gen-n-o-,ad-geng-ng-o-,ad-gengg-ngg-o-,gen,geng,gengg,n,ng,ngg,o",fine,"A,AT,ATTJNKKKKK,ATTJNKKNKK,ATTKNKKKKK,ATTKNKKNKK,JNK,KNK,NK,TTJNKKNKK,TTKNKKNKK","FNJ,FNK"
*adilo-,"duty, goal",,"adilo,adilo-","duti,goal","ATL,TL","KL,TT"
*ad-jatu-,striving,,"ad,ad-jatu-,jatu",strive,"AT,ATTJT,JT,TTJT","STRF,STRFNK"
*ad-kar-a-,love,,"a,ad,ad-kar-a-,kar",love,"A,AT,ATTKRR,KR,TTKRR",LF
*ad-kas-ti-,hate,,"ad,ad-kas-ti-,kas,ti",hate,"AT,ATTKSST,KS,T,TTKSST",HT
*ad-kasti-,great hate,,"ad,ad-kasti-,kasti","great,hate","AT,ATTKST,KST,TTKST","HT,KRT"
*ad-ken-ī-,lineage,,"ad,ad-ken-ī-,ad-keng-i-,ad-kengg-i-,i,ken,keng,kengg,ī",lineag,"A,AT,ATTKNKK,ATTKNKKK,KNK,TTKNKK","LNJJ,LNJK,LNKK"
*ad-koilo-,thin,,"ad,ad-koilo-,koilo",thin,"AT,ATTKL,KL,TTKL","0NK,TNK"
*ad-koilo-,very thin,,"ad,ad-koilo-,koilo","thin,veri","AT,ATTKL,KL,TTKL","0NK,FR,TNK"
*ad-kuφ-ro-,wish,,"ad,ad-kuth-ro-,ad-kuφ-ro-,kuth,kuφ,ro",wish,"AT,ATTK00,ATTKTT,K0,KT,R,TTK00,TTKTT","AX,FX"
*ad-lāto-,wound,,"ad,ad-lato-,ad-lāto-,lato,lāto",wound,"AT,ATTLT,LT,TTLT","ANKT,FNKT"
*ad-menserā-,time,,"ad,ad-menserā-,ad-ngengsera-,ad-nggenggsera-,menserā,ngengsera,nggenggsera",time,"AT,ATTNJNKSR,ATTNKNKSR,NJNKSR,NKNKSR,TTNJNKSR,TTNKNKSR","TNJ,TNK"
*ad-ougro-,sad,,"ad,ad-ougro-,ougro",sad,"AKR,AT,ATTKR,TTKR",ST
*ad-ren-,kidney,,"ad,ad-ren-,ad-reng-,ad-rengg-,ren,reng,rengg",kidney,"AT,ATTRNKK,RNK,TTRNKK","KTNJ,KTNK"
"*ad-rigo- , *ad-reigo-",chain,,"ad,ad-reigo-,ad-rigo-,reigo,rigo",chain,"AT,ATTRK,RK,TTRK",XNK
*ad-rigo-,chain,,"ad,ad-rigo-,rigo",chain,"AT,ATTRK,RK,TTRK",XNK
*ad-reigo-,chain,,"ad,ad-reigo-,reigo",chain,"AT,ATTRK,RK,TTRK",XNK
*ad-rigo- ,chain,,"ad,ad-rigo-,rigo",chain,"AT,ATTRK,RK,TTRK",XNK
*ad-reigo-,chain,,"ad,ad-reigo-,reigo",chain,"AT,ATTRK,RK,TTRK",XNK
*ad-rīmā-,number,,"ad,ad-ringa-,ad-ringga-,ad-rīmā-,ringa,ringga,rīmā",number,"AT,ATTRNK,RNK,TTRNK",NKNKPR
*ad-rostu-,dwelling,,"ad,ad-rostu-,rostu",dwell,"AT,ATTRST,RST,TTRST","TL,TLNK"
*ad-sor-o-,return,,"ad,ad-sor-o-,o,sor",return,"A,AT,ATTSRR,SR,TTSRR",RTRNK
*ad-sowjo-,left,,"ad,ad-sowjo-,sowjo",left,"AT,ATTSJ,SJ,TTSJ",LFT
*ad-trebā(-je/o)-,possess,,"ad,ad-treba-jeo-,ad-trebā-jeo-,jeo,treba,trebā",possess,"A,AT,ATTTRPJ,J,TRP,TTTRPJ",PSS
*ad-trebā-,possess,,"ad,ad-treba-,ad-trebā-,treba,trebā",possess,"AT,ATTTRP,TRP,TTTRP",PSS
*ad-trebā-je/o-,possess,,"ad,ad-treba-jeo-,ad-trebā-jeo-,jeo,treba,trebā",possess,"A,AT,ATTTRPJ,J,TRP,TTTRPJ",PSS
*ad-trougo-,very poor,,"ad,ad-trougo-,trougo","poor,veri","AT,ATTTRK,TRK,TTTRK","FR,PR"
*adVbV-,dwelling-place,,"advbv,advbv-",dwelling-plac,"ATFPF,ATFPFF,TFPFF","TLNKKLK,TLNKKLS"
*adV-met-V-,ripe,,"adv,adv-met-v-,adv-nget-v-,adv-ngget-v-,met,nget,ngget,v",ripe,"ATF,ATFFNKTTFF,F,NKT,TFFNKTTFF",RP
*ad-φas-tr(j)o-,horse,,"ad,ad-thas-trjo-,ad-φas-trjo-,thas,trjo,φas",hor,"0S,AT,ATT0SSTRJ,ATTTSSTRJ,TRJ,TS,TT0SSTRRJJ,TTTSSTRRJJ",HRS
*ad-φas-tro-,horse,,"ad,ad-thas-tro-,ad-φas-tro-,thas,tro,φas",hor,"0S,AT,ATT0SSTR,ATTTSSTR,TR,TS,TT0SSTR,TTTSSTR",HRS
*ad-φas-trjo-,horse,,"ad,ad-thas-trjo-,ad-φas-trjo-,thas,trjo,φas",hor,"0S,AT,ATT0SSTRJ,ATTTSSTRJ,TRJ,TS,TT0SSTRJ,TTTSSTRJ",HRS
*ad-φro-gʷant-V-,ferocity,,"ad,ad-thro-gwanggt-v-,ad-thro-gwangt-v-,ad-φro-gʷant-v-,gwanggt,gwangt,gʷant,thro,v,φro",feroc,"0R,AT,ATT0RKNKTTFF,ATTTRKNKTTFF,F,KNKT,TR,TT0RKNKTTFF,TTTRKNKTTFF","FRK,FRST"
*ag-,say,,"ag,ag-",say,"AK,AKK,KK",S
*ag- (*āg-),fear,,"ag,ag-,āg,āg-",fear,"AK,AKK,KK,KKK",FR
*ag- ,fear,,"ag,ag-",fear,"AK,AKK,KK",FR
*ag- *āg-,fear,,"ag,ag-,āg,āg-",fear,"AK,AKK,KK",FR
*ag(g),with,,agg,with,"AK,KKKK","A0,FT"
